situation elements:2
	8|Gen|2869
	31|Date|2017-12-19 01:24:25.603000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:705.00000000
			high24hr:749.00000000
			highestbid:705.00000000
			percentchange:-0.00495405
			low24hr:670.00000000
			lowestask:708.89999993
			candle300|287
				1513606800|715.00000000|703.62581860|704.00004004|714.99999985|708.88856822|164906.54661883
				1513606500|716.02400336|711.00000003|714.99999985|711.62581864|713.57606445|114307.74702412
				1513606200|711.74285586|704.98004800|711.00000000|710.10686118|708.36217185|158564.26416523
				1513605900|716.29989999|705.97000000|710.10686130|714.29999999|711.47617887|244064.88831976
				1513605600|719.55999992|714.05413251|714.05413251|716.00000001|715.06141233|138271.68852496
				1513605300|720.60607380|716.00000000|716.00000000|719.99999965|717.42235403|164055.01952311
				1513605000|720.00000000|716.47836257|719.99999965|719.99005002|718.48640404|105227.10700055
				1513604700|719.99999934|717.00000000|719.99999931|719.99999928|718.49972385|133481.75434572
				1513604400|723.93976632|717.46556740|717.46570244|721.79300100|719.49831479|128797.69699590
				1513604100|723.93976712|717.89874153|723.93976691|719.41684796|720.77883870|298253.65956608
				1513603800|720.00000000|715.00000000|719.99999934|719.89999947|716.88189687|385479.60039053
				1513603500|722.79300000|715.00000000|719.89999948|721.19465400|719.93244617|344349.30970297
				1513603200|727.99999924|721.18200000|721.18200000|724.60000001|723.50741822|61031.81673431
				1513602900|732.98005902|724.60000000|724.60000000|731.00000010|731.16095340|217154.57394837
				1513602600|732.98005921|728.00000082|731.00000010|729.79999982|730.48820149|134423.28222748
				1513602300|731.99998997|725.97000001|728.00000026|729.29999973|729.88076278|183148.71221790
				1513602000|729.49899978|726.50010018|729.39999984|727.62502448|728.63604701|42540.64027794
				1513601700|729.50000000|726.50000071|726.50010009|728.10000000|727.73165781|55549.18668416
				1513601400|728.10000000|724.81335326|728.10000000|725.00000000|727.54995867|73983.19177414
				1513601100|729.49999974|725.00000000|725.00000000|729.49999974|727.39001800|53814.79828206
				1513600800|731.99999875|726.64098458|729.49999977|730.81300078|729.35224877|55549.81159482
				1513600500|733.99999901|730.81300078|730.81300078|732.00000000|731.93598872|34668.37877545
				1513600200|734.00000009|731.00000012|732.00000015|732.07395047|732.32665854|84517.97461560
				1513599900|732.80000000|730.81206348|731.85884013|732.79999976|731.15201880|18716.30053236
				1513599600|733.99999986|730.80000089|732.79999979|733.00000000|733.05709498|48089.41164043
				1513599300|735.97999995|728.30000001|733.00000000|729.89999981|730.94937187|122109.11519027
				1513599000|735.99999898|728.00000000|728.20000003|734.99999900|732.81817490|189520.40750860
				1513598700|735.99999899|733.00000147|734.99999900|733.82499900|734.98707932|437408.87036043
				1513598400|736.77181346|732.33346750|733.82499900|736.77181346|734.77975593|119931.90701413
				1513598100|743.00000000|736.77181346|736.77181346|742.33935867|740.57403197|245026.30111993
				1513597800|748.00000000|742.33935866|743.00000000|747.00000012|745.57244296|282332.58457204
				1513597500|749.00000000|745.25500007|747.73999996|745.25500007|747.69095839|124472.57486789
				1513597200|749.00000000|742.99937465|747.00000005|744.14410589|746.77396970|347400.31474782
				1513596900|745.00000000|736.42478847|744.00000000|737.99999982|740.19804094|353602.43913163
				1513596600|739.00000000|731.00000001|737.99999982|734.11100009|735.28224495|147869.24680733
				1513596300|736.84511084|733.50000001|734.00000000|734.11099987|734.53402950|200917.77149998
				1513596000|738.78000000|733.50000001|735.99999994|738.42609502|736.36125234|222680.16260500
				1513595700|738.42609505|730.80100003|737.00000000|730.80100003|735.62275335|263220.98510032
				1513595400|733.00000000|727.94079359|733.00000000|728.05000110|731.01028261|515584.13799489
				1513595100|728.05000110|724.00000001|727.94079359|724.00000001|726.73845021|84122.82298036
				1513594800|724.04542750|719.99999999|724.00000000|719.99999999|722.48658524|96639.43976813
				1513594500|722.99999987|719.00000002|719.99999999|720.57714721|721.06948892|67572.84393665
				1513594200|726.68606564|720.57714724|723.49999969|725.50565643|724.16858520|295865.88721979
				1513593900|726.00000000|723.10000055|725.50565643|723.10000055|725.18124361|171724.25190020
