situation elements:2
	8|Gen|3500
	31|Date|2017-12-29 16:46:56.032000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:742.52930745
			high24hr:744.00000000
			highestbid:739.52930836
			percentchange:0.09679365
			low24hr:655.00000000
			lowestask:740.78357084
			candle300|288
				1514526300|742.52930745|739.52930754|739.52930865|739.52930754|741.31845695|31607.11420039
				1514526000|744.00000000|737.20154678|743.98946050|739.99999994|740.63701020|152828.21657602
				1514525700|740.00000000|736.60205810|740.00000000|736.60205810|739.77901518|42483.47577401
				1514525400|737.99099835|734.23447370|737.50000000|735.00000000|736.55249645|17406.09426122
				1514525100|737.99999997|734.23447287|734.23447310|737.00000027|734.65873604|49827.75694492
				1514524800|739.00000000|737.00000000|738.99999905|737.40000176|738.00557293|17121.00668858
				1514524500|737.92013954|735.40000023|737.92013954|737.00000000|736.97987790|8384.53278305
				1514524200|737.92014015|735.40000052|737.00000001|737.92014015|736.18245009|1986.21822584
				1514523900|737.92014156|735.10000003|737.92014101|735.10000003|736.57550210|59789.98543293
				1514523600|737.00000000|735.00000003|735.10000003|735.82020224|736.43129447|32434.72455434
				1514523300|737.50000000|734.60348453|737.00000000|737.00000000|736.16351878|50267.98804488
				1514523000|737.42000000|733.83000030|734.60348419|733.83000030|735.93472555|42248.78451022
				1514522700|737.92014180|733.61683568|737.49999997|735.61568910|736.70704938|23604.14714089
				1514522400|735.68326388|730.75000007|735.68326388|734.99934235|734.93958237|39907.71423872
				1514522100|738.59999965|730.61472665|730.61618947|738.59999965|732.96981059|46346.25500992
				1514521800|739.68344183|736.72470777|738.99999981|739.68344150|737.26173728|95838.69554825
				1514521500|740.00000000|734.30109074|734.30278115|734.30109074|738.27125690|34318.77930817
				1514521200|739.26190602|733.00111682|739.26190592|734.53974117|737.72748417|47022.13122720
				1514520900|737.48977505|732.68300000|737.48977505|734.00000020|734.96848492|74878.94327104
				1514520600|737.68399975|733.43142411|737.48999984|735.32318477|735.68315549|40699.54838193
				1514520300|737.99999990|735.32318477|735.32318477|737.99999990|735.35155329|13091.57155728
				1514520000|738.55343670|734.16876499|738.00000000|737.11699917|737.73233459|43203.10611324
				1514519700|737.11699948|733.43142389|737.11699917|735.00000046|735.56018372|22004.27270853
