situation elements:2
	8|Gen|2866
	31|Date|2017-12-18 23:54:26.911000
		instrument count:3
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:728.00000000
			high24hr:749.00000000
			highestbid:725.20000093
			percentchange:0.02824858
			low24hr:670.00000000
			lowestask:728.10000000
			candle300|287
				1513601400|728.10000000|724.81335326|728.10000000|725.00000000|727.54995867|73983.19177414
				1513601100|729.49999974|725.00000000|725.00000000|729.49999974|727.39001800|53814.79828206
				1513600800|731.99999875|726.64098458|729.49999977|730.81300078|729.35224877|55549.81159482
				1513600500|733.99999901|730.81300078|730.81300078|732.00000000|731.93598872|34668.37877545
				1513600200|734.00000009|731.00000012|732.00000015|732.07395047|732.32665854|84517.97461560
				1513599900|732.80000000|730.81206348|731.85884013|732.79999976|731.15201880|18716.30053236
				1513599600|733.99999986|730.80000089|732.79999979|733.00000000|733.05709498|48089.41164043
				1513599300|735.97999995|728.30000001|733.00000000|729.89999981|730.94937187|122109.11519027
				1513599000|735.99999898|728.00000000|728.20000003|734.99999900|732.81817490|189520.40750860
				1513598700|735.99999899|733.00000147|734.99999900|733.82499900|734.98707932|437408.87036043
				1513598400|736.77181346|732.33346750|733.82499900|736.77181346|734.77975593|119931.90701413
				1513598100|743.00000000|736.77181346|736.77181346|742.33935867|740.57403197|245026.30111993
				1513597800|748.00000000|742.33935866|743.00000000|747.00000012|745.57244296|282332.58457204
				1513597500|749.00000000|745.25500007|747.73999996|745.25500007|747.69095839|124472.57486789
				1513597200|749.00000000|742.99937465|747.00000005|744.14410589|746.77396970|347400.31474782
				1513596900|745.00000000|736.42478847|744.00000000|737.99999982|740.19804094|353602.43913163
				1513596600|739.00000000|731.00000001|737.99999982|734.11100009|735.28224495|147869.24680733
				1513596300|736.84511084|733.50000001|734.00000000|734.11099987|734.53402950|200917.77149998
				1513596000|738.78000000|733.50000001|735.99999994|738.42609502|736.36125234|222680.16260500
				1513595700|738.42609505|730.80100003|737.00000000|730.80100003|735.62275335|263220.98510032
				1513595400|733.00000000|727.94079359|733.00000000|728.05000110|731.01028261|515584.13799489
				1513595100|728.05000110|724.00000001|727.94079359|724.00000001|726.73845021|84122.82298036
				1513594800|724.04542750|719.99999999|724.00000000|719.99999999|722.48658524|96639.43976813
				1513594500|722.99999987|719.00000002|719.99999999|720.57714721|721.06948892|67572.84393665
				1513594200|726.68606564|720.57714724|723.49999969|725.50565643|724.16858520|295865.88721979
				1513593900|726.00000000|723.10000055|725.50565643|723.10000055|725.18124361|171724.25190020
				1513593600|725.00000000|720.20000000|725.00000000|720.27259200|723.23350290|262230.13241267
				1513593300|720.20000000|718.00000000|720.20000000|718.17000000|719.51363060|160443.24621631
				1513593000|718.17000000|713.27000095|718.17000000|715.98000000|717.06860777|78756.09198965
				1513592700|716.00000000|713.17000022|713.20000020|715.21000009|715.31088257|73553.68854746
				1513592400|715.21000009|713.00000000|715.21000009|713.00000000|714.32144941|32778.13991020
				1513592100|713.95199999|709.99900305|712.31539000|711.79999978|712.68522537|77127.29093365
				1513591800|711.90000000|709.99900024|711.79999981|709.99900024|710.72328059|27544.83264212
				1513591500|711.51237995|708.44000005|709.99900006|710.40000000|709.80345709|84416.86492542
				1513591200|711.91954497|710.40000000|710.40000000|711.91954497|711.22972849|58760.81646666
				1513590900|715.00014251|710.40000000|710.40000000|712.00014261|711.84390754|83747.56483176
				1513590600|715.14875135|709.20000002|715.04147884|710.00000000|713.38975480|129065.40787176
				1513590300|710.00000000|708.00000058|710.00000000|709.00000000|709.61464385|44208.71801057
				1513590000|709.00000000|706.48800256|709.00000000|706.48800256|707.71532663|10779.58019442
				1513589700|708.48799993|705.00000088|708.48799987|706.48800105|707.32822232|14714.99445606
				1513589400|709.70184630|705.00000043|705.00000076|706.48799945|708.89177494|52857.17918583
				1513589100|708.18256927|704.73900000|706.48799904|705.00000000|706.15086142|44274.47674514
				1513588800|706.99999967|705.00000000|705.00000000|706.99999967|705.18253333|22227.51129867
				1513588500|706.99999935|704.73900000|705.99999948|705.99999941|706.00130452|26234.33901744
				1513588200|707.00000000|704.74600000|705.37200000|706.00000000|705.61610501|34851.39777202
				1513587900|711.89384706|705.45500000|706.00000000|710.00000112|709.03410878|76513.31815107
				1513587600|712.00000000|709.95000000|711.89384721|711.85279199|710.27850598|40634.77553199
				1513587300|711.85279199|709.33500095|711.74285586|710.69100003|710.67358098|18125.98141071
				1513587000|710.69100003|708.77047167|710.69100003|709.42678000|709.76520079|91436.30509186
				1513586700|709.90000000|706.67100017|709.90000000|707.07000000|708.95625073|38260.74793024
				1513586400|707.07000000|705.36908119|706.67100017|705.36908119|706.78572036|66802.72348777
				1513586100|705.36908119|702.50000424|705.36908119|702.50000424|704.86242535|112582.65999367
				1513585800|703.99999906|702.50000223|703.99999898|703.99999903|703.89922219|116174.97329559
				1513585500|703.99999973|701.00000019|703.99999931|703.99999973|702.93816341|104190.84805366
				1513585200|704.85256826|700.40200007|703.99999973|704.85256826|702.57672383|106659.07219308
				1513584900|704.00000000|702.59800056|703.19700028|703.19700000|703.13120693|19280.39728397
				1513584600|704.69276969|702.59800004|702.59800052|702.99999999|704.24772077|9572.61749380
				1513584300|703.10503500|699.56100000|702.99999999|701.14228523|701.06448212|79737.13619484
				1513584000|701.14228687|696.99999997|699.56100000|698.87383681|699.81731153|26243.05552612
				1513583700|701.79999977|696.99999997|696.99999998|700.00000000|697.75896813|37385.65766417
				1513583400|705.00000000|700.00000000|701.00000000|705.00000000|701.72667560|67606.40123585
				1513583100|706.10000000|703.46500084|705.00000000|706.10000000|704.53352684|43096.46021721
				1513582800|706.00000000|701.00000002|706.00000000|701.00000002|704.62911116|340525.92138967
				1513582500|704.00249446|701.00000000|701.00000002|704.00249446|701.20116401|9147.77114469
				1513582200|704.00249807|700.50000004|700.50000088|704.00249807|703.26739070|13054.77510642
				1513581900|706.99999936|700.50000000|700.90600007|703.46500143|702.02973794|52571.44868989
				1513581600|706.99999998|700.07000006|706.99999950|703.00000000|704.30213104|184543.62099381
				1513581300|704.69999913|700.07000000|701.11000000|702.00000000|701.19444581|16354.57385580
				1513581000|706.99690929|701.36977876|701.36977876|703.60000003|702.65807631|26295.98519350
				1513580700|706.99833695|703.60000003|706.99690979|705.13000000|704.76337133|73408.39059498
				1513580400|707.00000000|704.27034497|704.27034508|706.15275389|704.97440665|18224.33767294
				1513580100|706.15275391|703.59900008|705.50590000|703.60000003|704.89724453|19619.22620277
				1513579800|704.70000000|703.20900000|703.59900006|704.64900000|703.56892833|35377.58495321
				1513579500|705.09999993|703.00000070|705.00000000|705.09999993|704.76328584|40817.84903614
				1513579200|705.19999912|703.00000046|703.00000064|705.19999912|703.56360239|9967.27423023
				1513578900|705.19999999|703.00100097|705.19999956|704.00000001|703.75616836|64251.68864525
				1513578600|705.39999902|704.00000000|705.19999957|704.00000000|704.84043511|23767.78762999
				1513578300|705.40000039|703.00000000|704.00000000|704.00000000|704.07590309|17548.83721329
				1513578000|706.06741793|704.00000000|704.00000046|706.00000000|704.10810569|28954.66914957
				1513577700|705.99999793|703.00000061|705.00000000|705.99999793|705.46527054|51671.14115403
				1513577400|706.00000000|702.99100000|703.66785412|706.00000000|704.85809895|57707.21094899
				1513577100|707.21000006|705.17300007|705.17300153|705.17300007|706.03120693|3722.49119212
				1513576800|707.04587437|703.10000038|703.30050584|705.99999947|704.73492080|48421.13841533
				1513576500|706.00000000|703.00000004|703.10000010|703.10000062|704.12557080|59462.01539750
				1513576200|704.47999781|701.99999999|703.99999925|702.99999991|702.74545665|59169.96533410
				1513575900|704.47999891|700.25719903|702.99999982|702.67983205|702.65069132|13451.19669237
				1513575600|704.48999413|701.01300000|701.01300000|703.10000000|702.62235314|39425.93471159
				1513575300|704.49999910|703.00000003|703.10000000|703.25719703|703.48076258|45458.52049865
				1513575000|704.66441397|702.98016510|703.00010009|702.98016510|703.07438390|43852.63400633
				1513574700|702.75457892|700.00000088|702.75457892|701.68023385|701.71204328|39936.34739786
				1513574400|701.68023449|698.73677178|700.00000057|700.00000000|701.19815852|43748.20789322
				1513574100|701.68023745|696.50000023|700.00000000|700.45118863|698.27741972|258981.54552103
				1513573800|701.47966963|694.04353029|700.45118866|700.00000000|697.87407412|74443.57987564
				1513573500|701.47967053|700.00000000|700.00000000|700.20000009|700.11736033|51192.35187503
				1513573200|701.47967099|700.00000001|700.00000001|701.47967093|700.63721547|47100.51492602
				1513572900|703.24662302|700.16791660|701.47967096|703.24662302|701.68119470|22571.48256576
				1513572600|707.66613662|703.24662299|703.24662299|707.66613662|705.05286822|24213.61450782
				1513572300|708.13303400|704.39100001|705.00000078|707.56104255|705.64228010|36566.32107736
				1513572000|708.99999941|703.24662292|707.56104254|708.59999791|707.37846228|121187.62301745
				1513571700|708.59999846|706.99000000|708.59999795|707.00000000|707.53647308|29474.08293598
				1513571400|708.60000000|705.00000073|706.99000000|706.50530488|707.25999967|68452.83014493
				1513571100|706.41800000|703.20400113|705.00000058|705.00000000|704.88766693|23209.13741170
				1513570800|705.93293206|702.30000003|703.20400066|703.00000000|704.80693553|76324.21441340
				1513570500|704.89999970|701.47500097|702.50000008|704.89999970|702.94438353|50256.39318139
				1513570200|705.00000000|703.00000003|703.00000003|703.21500031|704.42802688|56181.57730356
				1513569900|704.99999997|703.00000011|703.21500024|703.76900000|704.11940806|15445.74797650
				1513569600|705.70487503|703.20000017|704.99999979|703.20000017|704.36868128|28431.37264005
				1513569300|703.84511420|702.29770230|703.49299997|702.99990000|703.14065086|41086.01500442
				1513569000|703.23834658|699.00001122|703.23834000|699.00001122|701.86281425|97482.03919724
				1513568700|701.80000073|699.00000028|701.00000105|700.69573894|701.35833368|7761.75982907
				1513568400|701.99999970|696.64093564|698.81000026|697.20969060|698.06042442|89577.69677238
				1513568100|702.08315378|697.20969060|697.20969060|701.50000000|700.15637830|27132.11946506
				1513567800|704.20969111|701.08315403|701.50000000|702.10000090|702.76727450|11676.28377501
				1513567500|704.20969172|702.00000088|702.10000090|702.00000088|702.69357494|63345.40426389
				1513567200|703.74849255|700.00000001|703.74849255|700.00000001|702.70821919|63741.97734531
				1513566900|701.10000000|695.41800000|700.00000000|695.99990000|700.02616472|286915.80095130
				1513566600|696.81961470|694.83738010|695.41800000|696.81961470|695.51902241|40349.88400849
				1513566300|698.99999771|694.83738051|694.83738098|695.48446592|695.87814076|45151.53126207
				1513566000|695.48446592|687.38029334|695.00000007|689.00000000|691.46070293|141271.47446924
				1513565700|691.82164767|687.37000003|688.50000006|689.50000010|689.58458995|66521.26643346
				1513565400|693.89999969|688.34000017|689.50000010|693.28000000|690.02802681|58117.47504411
				1513565100|694.17853342|685.82365001|693.99999998|688.99013944|688.89915393|461685.97093029
				1513564800|690.43500000|684.93149963|690.43500000|684.93149963|689.01219249|39143.44004897
				1513564500|692.99999861|670.57764297|687.00000000|689.99999998|679.30523488|440581.02241574
				1513564200|698.99999932|689.99999998|689.99999998|697.00049864|694.71367993|71973.85562182
				1513563900|699.80424839|696.83100000|697.00029920|699.80424834|698.76221939|46021.50757857
				1513563600|699.80424841|696.00000011|699.01000000|698.44700000|698.18361929|55651.69640544
				1513563300|699.99000000|698.44700000|698.99999999|699.20000001|699.43037527|87248.76888857
				1513563000|699.79000000|697.89530000|699.79000000|698.00000000|699.00555788|164953.86044749
				1513562700|698.00000000|692.84625062|697.89530001|694.67129010|694.77776102|50577.96418101
				1513562400|694.67129011|690.00000080|694.67129010|691.00000000|692.28978869|166737.02637373
				1513562100|691.00000000|685.00000000|691.00000000|688.25300000|687.38521154|140303.22408294
				1513561800|692.50000001|687.82699964|687.82699964|692.50000001|690.03701590|339601.28237643
				1513561500|694.80489327|692.17853354|692.47999997|692.37129010|692.72549447|191283.46520217
				1513561200|693.00000000|685.00000000|693.00000000|685.06728390|688.27901543|136358.96640505
				1513560900|686.37558112|679.00000001|685.06728397|679.00000001|684.41979858|304794.51389479
				1513560600|679.75991752|675.00000010|679.75991752|675.00000010|676.38562770|387560.01501185
				1513560300|678.99999934|670.00000000|675.00000000|674.00000011|673.85633018|354241.99627931
				1513560000|683.16552146|673.87503354|674.00000011|681.70732833|676.77313799|512503.62253065
				1513559700|688.49999963|677.00000001|683.16552150|685.00000079|680.33507905|492619.22824495
				1513559400|689.22355011|679.80000000|685.00000074|680.00000000|683.64860548|266613.27913459
				1513559100|689.33866139|677.99997999|680.00000000|685.00000006|680.61734349|559057.43372300
