situation elements:2
	8|Gen|3840
	31|Date|2018-01-05 18:46:57.869000
		instrument count:3
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:1001.00000000
			high24hr:1023.00000000
			highestbid:1001.00000000
			percentchange:0.07403433
			low24hr:888.97599960
			lowestask:1001.00000001
			candle300|288
				1515138300|1003.40000001|996.99150025|999.89999994|1003.40000000|1000.13731209|76793.04602649
				1515138000|1010.99999942|1003.00767774|1003.00767774|1010.99999942|1003.90722631|185383.43958659
				1515137700|1011.91499957|1007.00000000|1007.00000000|1008.99999998|1008.38740180|86586.52012692
				1515137400|1009.06205009|1005.06205057|1009.00000000|1009.06205005|1008.71812957|92408.13222119
				1515137100|1011.70242483|1004.00000015|1009.06205009|1005.58421366|1008.24367271|151156.93922021
				1515136800|1011.91499957|1005.58421366|1005.58421366|1010.89799831|1007.87566591|38673.95244879
				1515136500|1016.99999944|1005.58421378|1010.89799831|1016.99999944|1010.07900123|169109.33941608
				1515136200|1017.51400000|1009.90509979|1012.50000036|1014.97999983|1013.14423346|171168.30947359
				1515135900|1017.29999982|1009.88991026|1014.97999997|1017.29999982|1012.45793735|157600.19289438
				1515135600|1017.76851799|1011.00000001|1017.31399987|1013.94900041|1013.32236109|266629.62222991
				1515135300|1019.10772855|1013.94900009|1014.00000000|1019.10772841|1017.13464096|78220.00848583
				1515135000|1022.18178000|1015.15723896|1017.00000000|1018.47000003|1018.70288923|149035.28188946
				1515134700|1022.81557054|1008.20000000|1018.47000003|1010.00000000|1015.42068698|158984.54696502
				1515134400|1012.99999997|1008.00000000|1008.20000000|1012.99999997|1009.07348592|68897.57567730
				1515134100|1018.16210013|1007.63982002|1008.00000003|1015.98888778|1014.22693724|102089.51678833
				1515133800|1023.00000000|1009.00000012|1015.98888778|1012.92869669|1015.63125581|298946.61681231
				1515133500|1013.02999996|1003.00000000|1011.00000000|1005.38165453|1009.28030577|118687.36097168
				1515133200|1008.50530592|1000.36469726|1001.87374604|1005.39165536|1003.78613652|107396.58405415
				1515132900|1005.39165611|994.79600016|1005.39165555|996.00000058|1002.16517120|183221.29188626
				1515132600|999.69599999|989.03000028|998.99999999|993.99999993|998.26493937|32387.16203143
				1515132300|998.99999986|988.99999993|993.99999993|998.99999986|991.13280093|376159.78410004
				1515132000|1000.00000000|995.99999988|995.99999988|999.99999999|997.90777757|41566.59731795
				1515131700|1003.00000000|995.99999988|1000.00000000|1000.49999998|999.34594109|104017.45027329
				1515131400|1000.49999998|999.54600000|1000.00000003|999.99999999|1000.00673217|31578.07603756
				1515131100|1000.00000000|997.00000000|999.99999999|997.00000000|998.79324690|169608.02287241
				1515130800|997.00000000|986.10380100|997.00000000|988.00000000|990.79676569|24221.48905623
				1515130500|990.00000000|985.00000003|988.00000000|986.04000000|987.67353783|105620.23642199
				1515130200|994.89999976|984.88605289|986.04000000|992.00000000|988.61896812|56007.85857167
				1515129900|998.09999973|990.10950035|992.00000000|993.10949973|992.39246900|22020.35372934
				1515129600|998.09999975|990.02400050|993.10949973|998.09999975|997.06241417|50268.71185696
				1515129300|998.09999997|990.02400002|998.09999989|993.00000000|993.38929316|127875.58574527
				1515129000|998.39999936|993.00000000|993.00000000|998.39999936|995.04322071|63884.96668927
				1515128700|1000.49999984|994.18053393|998.39999959|994.18053393|997.38814780|121062.85467203
				1515128400|1001.77000000|986.03665127|995.99999975|999.54523733|994.17694512|556698.94353025
				1515128100|999.54523734|991.43500013|999.54523734|992.28370560|993.21867887|55907.50164444
				1515127800|997.27076300|991.02000077|994.99999997|995.99999966|994.43105906|80233.79220691
				1515127500|995.99999999|988.52730152|992.70380359|988.52730152|993.78784127|64509.18659369
				1515127200|988.52730156|976.04864379|988.52730153|980.66666718|980.08189168|222099.20052513
				1515126900|985.48999995|979.00000003|980.66666718|982.99999980|981.49495931|145084.07742419
				1515126600|993.74327253|980.00000000|982.99999981|990.00000000|990.33752374|95076.17444537
				1515126300|1003.42620435|988.00000000|990.00000000|1000.00000003|994.48714344|618350.90770585
				1515126000|1000.00000000|997.00000004|1000.00000000|998.00009982|999.75446345|323624.76928610
				1515125700|1000.00000000|995.05000018|998.00009982|996.00000003|998.49237156|423619.46101912
				1515125400|996.00000003|993.00000004|996.00000003|995.00000000|994.74553120|84289.76261631
				1515125100|995.00000000|990.00000100|995.00000000|994.00000000|992.71984378|89062.78584140
				1515124800|995.00000000|990.00000106|994.99999999|990.00000106|992.61846131|111078.81416413
				1515124500|992.00080000|987.20000003|990.00000103|988.99999998|989.76000096|76994.93650343
				1515124200|988.99999999|982.50064608|988.99999998|982.55000000|987.73431305|44494.09256723
				1515123900|987.00000000|980.56208780|982.55000000|985.31999999|984.98013092|40058.83482777
				1515123600|985.48899991|980.07499997|985.31999999|980.07499997|983.40768091|89136.22122367
				1515123300|985.00000000|977.00000036|984.99999997|982.09622000|982.61780580|37020.33063097
				1515123000|981.00000004|974.50000000|981.00000004|975.00000000|977.26869521|76845.83255767
				1515122700|981.00000016|974.21445017|975.25685168|981.00000013|977.96150399|230940.53361759
				1515122400|983.00000000|976.99999972|981.00000010|980.80000000|980.87131408|99105.73830344
				1515122100|987.99999967|979.65910963|980.80000000|987.99999967|981.69215390|38750.20968666
				1515121800|989.00000000|983.00000000|985.49999998|986.79999983|986.82886772|196264.25625449
				1515121500|986.99999984|981.07000007|986.98000000|983.00000000|985.21447604|70173.15526407
				1515121200|986.09050052|982.54747498|982.54747498|983.99529994|984.48815830|128470.28716772
				1515120900|987.66097939|978.11962374|979.99999999|980.00100009|983.96563588|301615.94895297
				1515120600|980.00100000|979.00000000|980.00100000|980.00000000|979.78883512|163022.79066231
				1515120300|982.00000004|972.07862108|979.50000000|976.99999975|976.91353216|147214.87393917
				1515120000|976.96343825|971.30699904|976.96343825|974.99999975|974.39533404|34744.69167962
				1515119700|976.18793810|966.46239464|974.44699934|971.32799351|971.46735368|205381.12275657
				1515119400|975.69201449|971.32799351|972.99999994|971.32799351|974.58720332|253332.21192096
				1515119100|975.08124697|967.24945119|974.25074562|970.00000000|972.05789814|110581.29739497
