situation elements:2
	8|Gen|5271
	31|Date|2018-02-04 14:17:01.231000
		instrument count:3
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:954.57179155
			high24hr:998.21812647
			highestbid:954.40000000
			percentchange:0.09789020
			low24hr:847.80398615
			lowestask:954.57179155
			candle300|288
				1517714100|957.10164353|954.57179152|954.57179155|957.10164353|954.97269353|9323.47947464
				1517713800|959.36863481|956.00000000|957.10164360|958.49999995|957.55798159|45774.47175563
				1517713500|959.14882407|954.00330144|956.00000027|955.82506137|957.75559310|58956.63098023
				1517713200|955.82506143|949.44192818|955.30211000|949.44192877|954.66404213|12420.73036346
				1517712900|953.40125961|949.44192849|949.44192861|953.40125961|951.43193956|6851.69594434
				1517712600|953.40125962|951.00000000|953.40125962|951.00000000|953.07232256|5386.31253431
				1517712300|953.42295168|950.76737325|952.14941019|952.56198107|952.28048031|7051.08671951
				1517712000|952.56198109|948.47999999|952.56198106|948.47999999|951.40286075|39929.04413268
				1517711700|948.48000000|943.49876725|948.47999999|947.03991830|947.08799936|13162.79619520
				1517711400|948.63664642|939.39876726|944.94876726|940.21000000|946.90157972|6516.31424733
				1517711100|950.46818275|938.97761052|940.77756552|949.19656781|941.38077446|390271.60594484
				1517710800|953.53876723|948.51500008|949.19656793|951.31249199|951.98553686|54532.80326643
				1517710500|951.31249214|942.01535617|951.31249205|942.01535617|947.45549556|53331.03179554
				1517710200|944.99999996|943.99999998|943.99999998|944.99999996|944.55352607|7574.73393930
				1517709900|946.29535612|940.77756555|942.23535617|946.29535612|945.09761267|38962.87588539
				1517709600|946.87750009|935.77849500|946.87750005|936.00000000|940.79732634|44332.49300175
				1517709300|944.85837603|936.00000000|936.00000000|944.64513048|939.81094693|78924.77681388
				1517709000|952.55506171|940.57370330|944.64513072|952.55506171|943.38838798|30469.19837502
				1517708700|955.82506143|949.26452363|952.94506157|955.82506111|954.03477075|39120.62682659
				1517708400|955.82506143|953.00000087|955.82506127|953.00000087|954.35060823|24050.22116509
				1517708100|955.82506162|952.96625369|954.82302900|952.96625369|953.90087958|1014.60737957
				1517707800|957.08502723|952.96625227|954.00000002|957.08502723|953.64784834|6406.73658979
				1517707500|957.75502720|954.23322101|957.75502711|955.71502670|956.80416081|3754.43302916
				1517707200|954.23322151|952.23322231|954.23322150|952.23322231|953.02777177|733.80959805
				1517706900|955.83233937|952.23322082|954.23322151|955.82598947|954.48037755|15815.73123705
				1517706600|955.82598959|953.00000000|953.47650009|954.12234615|954.60979519|6063.14316232
				1517706300|954.12234616|950.00000011|954.12234615|951.00000000|952.33777750|9886.48518954
				1517706000|954.12234631|950.00000031|952.31945062|954.12234631|952.43196523|10008.38014083
				1517705700|954.12234634|950.00000001|954.12234634|950.69999999|951.35095708|21807.43377673
				1517705400|957.31537602|948.29496533|950.70000000|957.31537602|950.94480459|38488.67089984
				1517705100|960.31384012|954.61537718|957.31537614|960.31384012|955.91192856|9199.03241454
				1517704800|963.15380541|960.00000000|961.31383999|960.00000003|962.97911408|337277.49850042
				1517704500|966.54377136|960.00000000|962.31377082|965.29999997|963.09735090|9726.65152928
				1517704200|965.29999994|961.23377160|965.29999994|964.48199999|963.32969490|23914.03197035
				1517703900|967.70373717|964.00000000|964.00000000|965.00000003|967.03818439|16200.17043515
				1517703600|971.29496524|966.33373736|966.33373736|968.20370330|967.80844519|38644.65694032
				1517703300|971.29496531|968.00000015|968.00000015|970.81370327|968.47814620|10813.82798733
				1517703000|970.71370296|969.43122700|970.00000012|969.43122700|970.27173943|15330.96119502
				1517702700|969.43122697|966.00370330|966.56516509|969.25370263|966.93104510|17360.06448397
