situation elements:2
	8|Gen|2882
	31|Date|2017-12-19 07:54:01.550000
		instrument count:3
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:768.00000000
			high24hr:786.00000000
			highestbid:768.00000000
			percentchange:0.07681112
			low24hr:670.00000000
			lowestask:768.22100003
			candle300|287
				1513630200|774.07960382|768.00000000|769.64275181|774.07960382|769.72430413|263497.31157540
				1513629900|775.09999999|770.22079134|772.22079109|772.10000003|772.32971033|129638.14386558
				1513629600|773.84999996|772.00000003|772.10000003|773.84999996|772.63577501|159190.87895612
				1513629300|773.84999999|762.65712336|773.00000000|767.99999997|766.72991287|375635.72937911
				1513629000|780.00000000|766.00000000|767.99999997|778.00000009|774.59510864|589312.98763526
				1513628700|785.39999900|777.18057066|781.18649990|784.20000006|782.15236969|339123.58891523
				1513628400|785.99999995|781.52275022|785.39999899|783.20000004|783.68462889|320462.57698197
				1513628100|786.00000000|780.00000000|785.99999987|780.50000195|783.76048443|418025.92562356
				1513627800|780.50000195|775.43907160|780.50000195|780.00000000|779.20928198|382311.78521512
				1513627500|780.50000194|767.40000012|780.50000193|768.00000000|778.27302716|583715.90245326
				1513627200|770.00000000|766.14900493|768.00000000|767.50000141|769.10631037|182300.30325862
				1513626900|769.45133812|765.00000014|769.45133753|765.00000014|766.56507627|39323.51041073
				1513626600|766.59999986|763.16500108|765.00000012|763.16500108|765.75826950|78383.07987903
				1513626300|766.60627102|763.16500082|763.16500108|766.60627080|764.94050435|61513.16215138
				1513626000|769.45133937|763.99000000|766.60627080|763.99000000|767.25033971|215594.60890701
				1513625700|764.97000000|762.50000118|763.99000000|764.00000000|763.36051367|50062.43238272
				1513625400|766.99999966|761.30000021|764.96999964|764.98500000|762.79091583|141343.96280725
				1513625100|767.49999944|761.29435824|763.00000038|764.92350130|762.73937920|187796.88404060
				1513624800|768.00000000|763.00000002|763.00000003|765.84565936|766.18707913|161225.94880170
				1513624500|770.00000000|762.84565902|766.01000037|769.36308283|767.02656366|233036.64244906
				1513624200|769.95000007|761.43444548|769.95000007|761.51035612|767.23332024|278496.80729726
				1513623900|761.51035612|755.00000000|761.00000052|755.00000000|759.01571848|229227.29227884
				1513623600|755.00000000|747.05119599|755.00000000|751.25000000|751.57515412|235590.46172545
				1513623300|755.57963541|751.25000000|751.25000000|753.89459986|753.58997603|202836.02974084
				1513623000|759.00008834|751.85754323|753.89459992|753.69159996|754.84541535|479439.31417593
				1513622700|759.99999999|753.69159996|753.69159999|754.95000000|755.89182523|753336.33138239
				1513622400|755.00000047|748.00000000|755.00000047|748.00000000|750.81255656|487729.63430797
				1513622100|748.05143704|742.20000000|748.00000000|742.45482451|745.01796756|231725.46840495
				1513621800|742.45482451|740.18249991|742.45482451|741.51560189|741.96588571|58591.29031833
				1513621500|741.51560189|733.11600014|741.00000000|735.00000000|738.54987116|158653.43119493
				1513621200|735.00000000|730.00181629|733.96192404|730.00181633|733.09238882|35371.81274682
				1513620900|732.99999965|728.00000000|730.50000000|732.99999965|729.95230131|120656.98704524
				1513620600|736.00100000|728.50000000|728.50000000|732.20000031|734.08730898|365113.63219161
				1513620300|734.65399992|731.14688680|734.65399980|731.14688680|733.70382963|74319.73222464
				1513620000|734.88999936|730.00000003|734.65499964|733.00000288|732.54373045|132908.49818231
				1513619700|735.29999997|733.00000086|734.00000000|734.99999977|734.74118538|42637.23183699
				1513619400|736.49999997|733.31500001|734.99999977|734.31000019|735.66816845|116927.46317356
				1513619100|738.00000000|733.21000007|734.31000013|735.10000076|736.39962217|199518.10896177
				1513618800|735.10000099|733.20000000|735.10000079|733.20000020|734.04352812|101269.84182990
				1513618500|735.00000000|733.00000009|733.10000133|733.00000009|734.31700319|53363.21888811
				1513618200|734.88880000|731.26800052|733.00000003|732.00000000|733.12976566|70740.51668081
				1513617900|733.33260002|731.00000104|732.00000000|731.00000104|731.80754579|39236.57140671
				1513617600|732.20000007|729.25294819|731.00000087|729.99999997|730.35467983|57598.08881807
				1513617300|733.99999993|727.00000001|730.00093553|731.91000000|731.01763743|204889.87348756
				1513617000|734.88880000|731.00000000|731.91000000|732.32000016|732.76064784|63578.61369052
				1513616700|734.00000000|731.00000017|734.00000000|733.99999982|733.29492471|93238.16026788
				1513616400|734.99999974|731.00000000|731.00000000|733.99706400|732.13569331|120111.01965618
				1513616100|735.00000000|732.53200000|733.01000000|733.00000025|733.55484387|55683.34018053
				1513615800|735.00000000|730.00000135|733.65000000|732.99999970|732.24257745|112876.55174872
				1513615500|733.64999928|730.00000030|730.00000096|733.64999925|731.38780627|74520.73673147
				1513615200|733.79999927|727.30000000|731.33000013|731.79800003|731.29408736|68065.01704166
				1513614900|735.00000000|731.79800009|731.79800009|734.79999999|733.23056091|74099.88821536
				1513614600|735.00000000|729.26931521|734.80000000|729.50000000|733.01252017|192117.02775140
				1513614300|729.50000000|726.10000048|729.50000000|726.10000048|727.87049294|70411.61799929
				1513614000|728.00024141|724.45040096|726.10000048|727.00000000|726.90004360|52863.90908726
				1513613700|728.85999996|723.86747540|728.85999996|727.00000000|725.44624315|130192.25528855
				1513613400|729.00000899|727.00000000|727.00000000|727.50500069|727.99754987|92041.11961436
				1513613100|728.99999997|723.99291020|728.99999990|724.69291020|725.58160806|108969.38003294
				1513612800|727.55291399|722.06825899|723.99291020|726.65647780|724.87721987|377066.42129394
