situation elements:2
	8|Gen|4218
	31|Date|2018-01-13 15:47:20.524000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:1286.99999983
			high24hr:1289.45942694
			highestbid:1282.00000024
			percentchange:0.07614094
			low24hr:1169.37000000
			lowestask:1286.99999974
			candle300|288
				1515818700|1288.16249956|1280.56500038|1286.99999974|1281.99999997|1281.78545447|85769.25292954
				1515818400|1287.24812494|1281.99999997|1281.99999997|1284.99999999|1282.40742418|89737.96892661
				1515818100|1287.00000000|1281.00000032|1282.00000000|1281.00000032|1281.71942373|4125.16260680
				1515817800|1289.40000000|1279.90697056|1288.99999995|1289.38415512|1288.26705818|124647.03075079
				1515817500|1289.38415512|1279.34153101|1289.38415512|1289.00999910|1285.01304086|33800.02454850
				1515817200|1289.39999777|1285.00000000|1285.00000000|1285.00000001|1285.80319638|22073.93821924
				1515816900|1289.45942694|1283.27002169|1289.39999989|1286.38365046|1288.39367538|47461.48776982
				1515816600|1286.38365056|1281.00000004|1286.38365050|1285.00000000|1282.73634389|27716.24218998
				1515816300|1286.81774051|1280.38365139|1280.38365139|1285.00002005|1281.60779771|145178.70441884
				1515816000|1288.57845180|1285.00002000|1286.81774051|1285.00714069|1286.59318692|32292.91524837
				1515815700|1286.81774081|1284.77505517|1285.00714069|1284.78000000|1284.87891784|25956.85219789
				1515815400|1284.77505517|1276.74074259|1284.77505517|1283.15652473|1283.25963043|50858.53681079
				1515815100|1284.58900838|1274.25104873|1283.15652473|1279.30705519|1279.11921493|13933.52412061
				1515814800|1279.43582763|1269.41337058|1273.79859651|1269.41337058|1273.36903311|6384.66888120
				1515814500|1269.41337066|1264.35594802|1269.41337058|1269.41337054|1269.32299524|17757.89076065
				1515814200|1269.43368190|1263.69995680|1269.12977941|1265.00000000|1268.00917786|70684.67305176
				1515813900|1269.43368190|1263.69995680|1265.00000000|1265.43368192|1267.26650242|14883.83298126
				1515813600|1269.43368190|1264.27428393|1265.00000031|1269.43368190|1265.32730638|106857.37021653
				1515813300|1273.11219678|1264.68473994|1269.43368190|1273.11219678|1268.63548539|78676.73860682
				1515813000|1284.99999986|1272.45617556|1273.11219685|1283.00000000|1280.88040450|140007.79082522
				1515812700|1287.99999947|1283.00000000|1284.99999992|1287.80000000|1283.58339092|94295.69086270
				1515812400|1288.92299995|1286.81774081|1287.80000000|1288.75086702|1288.40722683|36644.55884654
				1515812100|1288.75086711|1284.00000000|1286.81774081|1287.90000000|1288.42329521|58054.63134406
				1515811800|1288.00000000|1282.00000005|1287.90000000|1282.00000005|1285.98240802|88117.31258143
				1515811500|1283.99999999|1282.00000001|1283.00000000|1282.00000001|1283.24114237|37465.69003566
				1515811200|1285.00000000|1282.00000001|1282.00000001|1283.29999998|1282.88362235|30560.60969864
				1515810900|1284.00000000|1282.00000001|1283.29999998|1283.99998960|1282.28321763|70339.37222577
				1515810600|1283.69999997|1282.00000000|1283.69999997|1282.00000000|1282.33694129|27974.44671573
				1515810300|1283.99998972|1280.00000003|1282.00000000|1280.00000003|1282.13240493|18322.18148342
				1515810000|1283.80786072|1277.00000000|1283.80786072|1277.00000000|1281.00027775|75412.74278224
				1515809700|1283.80786198|1276.00077616|1277.00000000|1279.20000000|1281.34945651|103050.65528507
				1515809400|1279.38605360|1276.00038233|1279.38605360|1276.11111034|1278.65284282|11023.56402016
				1515809100|1279.38605224|1272.48912369|1279.30000000|1272.98912361|1275.78852513|19878.91173141
				1515808800|1280.73364198|1272.92000014|1272.98912400|1280.69235985|1275.80556565|7295.70504811
				1515808500|1280.69235991|1272.45089569|1280.69235988|1278.00089574|1278.18949876|43978.28096560
				1515808200|1278.00089574|1270.36211615|1278.00089574|1275.99999999|1275.23854684|131578.01033509
				1515807900|1281.99999995|1270.36211394|1276.00000000|1278.00000006|1275.30275058|92325.12949460
				1515807600|1283.99999687|1275.00134257|1278.00000003|1275.00134257|1279.50906201|13360.09177903
				1515807300|1280.00000018|1275.00089562|1280.00000000|1280.00000018|1279.97558124|151853.94133955
				1515807000|1280.99999954|1273.70187808|1280.99999954|1278.99999988|1279.85120809|33724.32693320
				1515806700|1280.00000000|1272.60500096|1280.00000000|1278.99999982|1278.91620500|55108.05840564
				1515806400|1278.99999996|1273.97746324|1277.00000000|1278.99999996|1277.86515498|23957.40170299
				1515806100|1279.99971649|1274.32997400|1278.99999997|1274.32997400|1278.77790344|52900.39667502
				1515805800|1278.00000000|1271.84513921|1274.32997382|1276.70250670|1276.90233892|16010.59375401
				1515805500|1283.99999991|1275.92611571|1277.17043300|1275.92611571|1281.38231013|120681.43470455
				1515805200|1281.82499988|1273.50714575|1279.90226238|1276.69889282|1277.97622124|67722.07385158
				1515804900|1276.69889286|1268.87999920|1273.50714565|1273.69949950|1275.21473836|122821.28780010
				1515804600|1274.99999999|1265.64091975|1273.69949950|1271.99999997|1272.04935365|206069.20608274
				1515804300|1272.99935027|1264.02429416|1272.00000000|1264.02429416|1267.27627351|45382.45306178
				1515804000|1264.00000000|1260.00000000|1262.51999959|1260.00000000|1261.26204390|28643.94081212
				1515803700|1261.75243429|1255.44367385|1260.00000000|1261.75243413|1258.92967012|6792.79083267
				1515803400|1263.04073683|1254.05557363|1255.44367308|1263.04073683|1257.42448813|11014.26121398
				1515803100|1263.04073690|1257.33421930|1263.04073679|1259.16485883|1259.51648714|45916.07813351
				1515802800|1263.04073696|1258.84499994|1258.84500110|1261.99999983|1261.19338854|13592.56664483
				1515802500|1263.04073696|1259.00000007|1262.96724502|1262.00000000|1262.84609936|46624.15252479
				1515802200|1263.04073710|1261.99999992|1262.00000100|1262.00000000|1262.05424746|30035.03708149
				1515801900|1262.27151914|1258.16000000|1261.99999994|1262.00000000|1261.86486253|15071.03161514
				1515801600|1262.27151904|1255.92861534|1262.00000000|1259.69999979|1260.21644475|246715.24653477
